system:index,elevation,latitude,longitude,.geo
2037_0,581.2013,80.24593673767464,-65.12645815996615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2042_0,540.048,63.049794485635914,-49.81021771279786,"{""type"":""MultiPoint"",""coordinates"":[]}"
2045_0,711.6146,71.748784722967,-51.2516940762097,"{""type"":""MultiPoint"",""coordinates"":[]}"
2049_0,1124.7402,74.10656381800442,-54.877161929059824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2051_0,883.6858,79.46415742388398,-62.49907179116259,"{""type"":""MultiPoint"",""coordinates"":[]}"
2060_0,843.4552,70.32878021497201,-52.53595641413639,"{""type"":""MultiPoint"",""coordinates"":[]}"
2063_0,557.7107,64.5736762942919,-49.882389523346,"{""type"":""MultiPoint"",""coordinates"":[]}"
2076_0,159.5906,79.91270443121184,-63.885664119200484,"{""type"":""MultiPoint"",""coordinates"":[]}"
2085_0,770.58636,64.60667716566681,-50.32796773987414,"{""type"":""MultiPoint"",""coordinates"":[]}"
2099_0,1128.8252,71.82609456801029,-54.05652056156,"{""type"":""MultiPoint"",""coordinates"":[]}"
2110_0,151.60138,76.20242276025463,-64.81325083235691,"{""type"":""MultiPoint"",""coordinates"":[]}"
2119_0,795.56647,60.53089442201826,-44.72272046482028,"{""type"":""MultiPoint"",""coordinates"":[]}"
2122_0,1421.4673,60.990516857488686,-44.59135402831209,"{""type"":""MultiPoint"",""coordinates"":[]}"
2123_0,679.12366,77.0300397633063,-66.44540756376452,"{""type"":""MultiPoint"",""coordinates"":[]}"
2145_0,610.81775,80.93530608013965,-64.3903393675825,"{""type"":""MultiPoint"",""coordinates"":[]}"
2149_0,24.935362,75.94474488257053,-59.51850456996049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2167_0,268.32773,69.6361498279356,-54.59045461183675,"{""type"":""MultiPoint"",""coordinates"":[]}"
2179_0,422.37247,79.93565966370683,-61.77810309233595,"{""type"":""MultiPoint"",""coordinates"":[]}"
2187_0,1470.2051,65.98597140679384,-51.96173184218396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2197_0,197.21971,76.34098078262016,-65.40881163928267,"{""type"":""MultiPoint"",""coordinates"":[]}"
2227_0,30.810196,80.77522990792245,-60.53147696316177,"{""type"":""MultiPoint"",""coordinates"":[]}"
2238_0,1096.221,62.51879011282941,-49.104883048857,"{""type"":""MultiPoint"",""coordinates"":[]}"
2243_0,428.80676,71.6020500867093,-53.35460727472569,"{""type"":""MultiPoint"",""coordinates"":[]}"
2251_0,1256.9539,76.544235474498,-60.297987853082724,"{""type"":""MultiPoint"",""coordinates"":[]}"
2258_0,1287.7157,69.84181604065108,-53.06683958117241,"{""type"":""MultiPoint"",""coordinates"":[]}"
2259_0,1074.1216,66.73150773734169,-49.23132043722117,"{""type"":""MultiPoint"",""coordinates"":[]}"
2267_0,1515.4144,65.41369550226933,-49.155720139011294,"{""type"":""MultiPoint"",""coordinates"":[]}"
