system:index,aspect,latitude,longitude,.geo
2540_0,3,65.93173723598147,-52.98304116078508,"{""type"":""MultiPoint"",""coordinates"":[]}"
2545_0,1,69.75313779087637,-54.21275141330807,"{""type"":""MultiPoint"",""coordinates"":[]}"
2546_0,2,80.51726052411111,-64.49097262891956,"{""type"":""MultiPoint"",""coordinates"":[]}"
2553_0,4,62.360848983602295,-48.846801571621484,"{""type"":""MultiPoint"",""coordinates"":[]}"
2563_0,4,73.87624805789368,-55.43924686112684,"{""type"":""MultiPoint"",""coordinates"":[]}"
2564_0,2,67.08433261248925,-50.50178904397323,"{""type"":""MultiPoint"",""coordinates"":[]}"
2569_0,4,69.67574779560341,-49.8669720425765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2573_0,2,72.22948243170735,-53.17019911847182,"{""type"":""MultiPoint"",""coordinates"":[]}"
2574_0,4,60.85948717076743,-44.19487266260463,"{""type"":""MultiPoint"",""coordinates"":[]}"
2575_0,4,62.81058732940624,-49.62548122531392,"{""type"":""MultiPoint"",""coordinates"":[]}"
2576_0,4,69.74694762737579,-50.51791091590167,"{""type"":""MultiPoint"",""coordinates"":[]}"
2584_0,1,66.18569815555261,-50.19125627416058,"{""type"":""MultiPoint"",""coordinates"":[]}"
2586_0,3,60.49977381377991,-43.415339724317874,"{""type"":""MultiPoint"",""coordinates"":[]}"
2605_0,2,67.41291633343087,-53.52973651904427,"{""type"":""MultiPoint"",""coordinates"":[]}"
2607_0,1,78.71886254190328,-68.88228736927175,"{""type"":""MultiPoint"",""coordinates"":[]}"
2608_0,4,70.51019897923729,-53.1932201575097,"{""type"":""MultiPoint"",""coordinates"":[]}"
2609_0,3,77.53220437417747,-68.07206831998873,"{""type"":""MultiPoint"",""coordinates"":[]}"
2611_0,2,64.50196740441352,-49.075872426738925,"{""type"":""MultiPoint"",""coordinates"":[]}"
2613_0,1,78.24134263913756,-71.49087284132284,"{""type"":""MultiPoint"",""coordinates"":[]}"
2623_0,3,61.80581974932345,-48.66479922417349,"{""type"":""MultiPoint"",""coordinates"":[]}"
2625_0,2,67.53135393703845,-51.67139831126049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2633_0,4,78.17311971356908,-72.82683360243611,"{""type"":""MultiPoint"",""coordinates"":[]}"
2642_0,3,76.84231582922467,-67.32396188327584,"{""type"":""MultiPoint"",""coordinates"":[]}"
2643_0,1,76.5061352989231,-66.86010450610787,"{""type"":""MultiPoint"",""coordinates"":[]}"
2644_0,1,70.71324682773964,-50.8390315134966,"{""type"":""MultiPoint"",""coordinates"":[]}"
2655_0,4,73.2794166705261,-53.11055324358705,"{""type"":""MultiPoint"",""coordinates"":[]}"
2656_0,3,72.15190752082476,-51.64541998764408,"{""type"":""MultiPoint"",""coordinates"":[]}"
2663_0,1,78.72734553563413,-68.57447236099527,"{""type"":""MultiPoint"",""coordinates"":[]}"
2669_0,2,76.98480767881824,-70.43741976520806,"{""type"":""MultiPoint"",""coordinates"":[]}"
2676_0,1,67.90470267905364,-53.194993747057744,"{""type"":""MultiPoint"",""coordinates"":[]}"
2677_0,3,78.42562649623186,-69.34217681127896,"{""type"":""MultiPoint"",""coordinates"":[]}"
2691_0,2,60.97742240713354,-43.63093201603948,"{""type"":""MultiPoint"",""coordinates"":[]}"
2694_0,2,69.5722312878075,-54.54953545889731,"{""type"":""MultiPoint"",""coordinates"":[]}"
2719_0,1,65.61901057869031,-53.07991504693176,"{""type"":""MultiPoint"",""coordinates"":[]}"
2741_0,4,79.56880479487515,-63.649239284462546,"{""type"":""MultiPoint"",""coordinates"":[]}"
2750_0,2,66.93502221128195,-51.64412141777918,"{""type"":""MultiPoint"",""coordinates"":[]}"
2752_0,3,65.88985175789868,-51.786776068310694,"{""type"":""MultiPoint"",""coordinates"":[]}"
2759_0,1,68.48666262720697,-49.303999824579,"{""type"":""MultiPoint"",""coordinates"":[]}"
2767_0,4,72.90729622077555,-53.93046002611564,"{""type"":""MultiPoint"",""coordinates"":[]}"
2786_0,4,68.36985360295252,-52.093534330829975,"{""type"":""MultiPoint"",""coordinates"":[]}"
2789_0,2,69.63790962958365,-53.76864323039093,"{""type"":""MultiPoint"",""coordinates"":[]}"
