system:index,distance_to_sea,.geo
587,4015.505946821954,"{""type"":""Point"",""coordinates"":[-50.57196446479888,69.56531763020816]}"
600,8478.00343390972,"{""type"":""Point"",""coordinates"":[-57.97586601793868,75.30551940794608]}"
610,56927.17812586067,"{""type"":""Point"",""coordinates"":[-47.122103589936785,61.657876139804046]}"
622,61230.87063353541,"{""type"":""Point"",""coordinates"":[-50.03073635881015,66.2975126841176]}"
624,29455.567051519803,"{""type"":""Point"",""coordinates"":[-66.2407658890793,76.84777236591297]}"
630,3529.84945501568,"{""type"":""Point"",""coordinates"":[-51.116846651352205,69.78682221666128]}"
634,7616.60097417701,"{""type"":""Point"",""coordinates"":[-50.69962279132975,63.71626100771832]}"
646,34249.69899802337,"{""type"":""Point"",""coordinates"":[-59.88071239931745,80.91506489564043]}"
649,59846.565158048616,"{""type"":""Point"",""coordinates"":[-53.17457980570963,73.41752477747764]}"
651,1134.7602460449475,"{""type"":""Point"",""coordinates"":[-51.780474642454905,67.95807862796929]}"
658,7338.601196692555,"{""type"":""Point"",""coordinates"":[-61.6443161302896,76.26774143406398]}"
675,8473.597263038133,"{""type"":""Point"",""coordinates"":[-61.67111816846777,76.28703748682217]}"
687,28146.568594546014,"{""type"":""Point"",""coordinates"":[-61.837280298898975,80.59386581189314]}"
690,1371.6379538606138,"{""type"":""Point"",""coordinates"":[-45.18160978083984,61.17836459942]}"
691,38276.34178832162,"{""type"":""Point"",""coordinates"":[-47.79296965669844,61.81446250504926]}"
693,72540.50954700899,"{""type"":""Point"",""coordinates"":[-47.56059638273165,62.33185276573946]}"
694,40507.14804864202,"{""type"":""Point"",""coordinates"":[-47.672874377306904,61.760809031858415]}"
706,2854.521900670991,"{""type"":""Point"",""coordinates"":[-51.09563368699686,66.80475867567434]}"
708,530.083710616565,"{""type"":""Point"",""coordinates"":[-50.91586125156117,66.93088074272141]}"
724,24869.170284507294,"{""type"":""Point"",""coordinates"":[-67.46999457497616,76.8896358989695]}"
733,43382.33174105544,"{""type"":""Point"",""coordinates"":[-67.88384979454956,78.51386500883771]}"
744,12434.179554274255,"{""type"":""Point"",""coordinates"":[-52.866124666652944,67.01850207568326]}"
748,27325.121061867063,"{""type"":""Point"",""coordinates"":[-63.21448111377482,80.45669133705002]}"
750,28650.25929193554,"{""type"":""Point"",""coordinates"":[-67.04098452918774,76.84475230496933]}"
758,643.8875324278305,"{""type"":""Point"",""coordinates"":[-52.247573072772596,66.82330232516425]}"
