system:index,latitude,longitude,offset,slope,.geo
5602_0,69.42005344195259,-53.321075740661406,0.14703354497126278,0.002185542027565391,"{""type"":""MultiPoint"",""coordinates"":[]}"
5615_0,80.43115303704762,-60.25391377738222,0.04234376811150346,0.002718578746393063,"{""type"":""MultiPoint"",""coordinates"":[]}"
5628_0,81.05907542064716,-61.31751907377974,-0.00733964110158627,-6.095880649884853E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5631_0,65.41473508464888,-51.202488974593926,-0.027615161454286198,0.0027351368214214283,"{""type"":""MultiPoint"",""coordinates"":[]}"
5647_0,76.6715239099506,-66.94169140459523,3.7993917358822727E-4,8.010713255471505E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5653_0,63.76309260326673,-49.57626881575236,-0.010573763959635921,1.596634051918796E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5659_0,65.71064013923785,-51.70554553370086,0.7195757352316614,-0.003914812536080104,"{""type"":""MultiPoint"",""coordinates"":[]}"
5664_0,61.958197534413785,-47.41222729630843,-0.008230529048266351,2.9971787607459147E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5676_0,66.7835879145902,-52.26905871142903,-0.03468095909057735,0.0033451493844764025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5679_0,75.46472715726443,-57.6118786952583,-0.01264709223982935,0.001881749829724552,"{""type"":""MultiPoint"",""coordinates"":[]}"
5686_0,61.09303008427827,-44.16266158753447,-0.015931999931004075,1.804936029683372E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5691_0,65.99010602412743,-51.55965913155985,-6.622501683042304E-4,-0.001019264819816735,"{""type"":""MultiPoint"",""coordinates"":[]}"
5700_0,67.19268069497824,-50.95823704884183,0.3272996114583143,0.002949911019752142,"{""type"":""MultiPoint"",""coordinates"":[]}"
5702_0,61.46250716063663,-48.127106599410745,0.09502817351531068,0.0011595511770924457,"{""type"":""MultiPoint"",""coordinates"":[]}"
5703_0,76.83349015567735,-68.77587155171048,0.011383416560058698,0.0010835883052902288,"{""type"":""MultiPoint"",""coordinates"":[]}"
5707_0,73.20582354381749,-54.24059126548615,-0.017907135650973887,0.002512753331777745,"{""type"":""MultiPoint"",""coordinates"":[]}"
5743_0,63.17433676605479,-50.112203714258065,0.03782313359224691,-3.7712643863509004E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5760_0,79.43770616433984,-61.817970518562724,-0.00682165986226859,0.001059747699593014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5779_0,60.30296179189515,-43.22446110480004,-0.05547802597304795,0.005088974618052931,"{""type"":""MultiPoint"",""coordinates"":[]}"
5787_0,65.68207371320284,-49.9072979979504,-0.01498678848334367,3.109149684065193E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5791_0,79.57577722350901,-63.66517623729769,0.006193875059644977,-3.4719294537321923E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
